Time;Consumption;;
16.6.2021 0.00;3,42;;
16.6.2021 1.00;0,54;;
16.6.2021 2.00;0,4;;
16.6.2021 3.00;0,4;;
16.6.2021 4.00;0,39;;
16.6.2021 5.00;0,39;;
16.6.2021 6.00;0,46;;
16.6.2021 7.00;0,76;;
16.6.2021 8.00;1,1;;
16.6.2021 9.00;1,22;;
16.6.2021 10.00;1,17;;
16.6.2021 11.00;1,12;;
16.6.2021 12.00;0,71;;
16.6.2021 13.00;1,3;;
16.6.2021 14.00;2,06;;
16.6.2021 15.00;1,35;;
16.6.2021 16.00;0,83;;
16.6.2021 17.00;0,63;;
16.6.2021 18.00;0,44;;
16.6.2021 19.00;0,33;;
16.6.2021 20.00;0,73;;
16.6.2021 21.00;0,33;;
16.6.2021 22.00;2,38;;
16.6.2021 23.00;3,32;;
17.6.2021 0.00;3,35;;
17.6.2021 1.00;3,37;;
17.6.2021 2.00;0,91;;
17.6.2021 3.00;0,26;;
17.6.2021 4.00;0,33;;
17.6.2021 5.00;0,36;;
17.6.2021 6.00;0,31;;
17.6.2021 7.00;0,43;;
17.6.2021 8.00;0,24;;
17.6.2021 9.00;0,52;;
17.6.2021 10.00;1,09;;
17.6.2021 11.00;1,43;;
17.6.2021 12.00;1,12;;
17.6.2021 13.00;0,51;;
17.6.2021 14.00;0,41;;
17.6.2021 15.00;0,38;;
17.6.2021 16.00;0,68;;
17.6.2021 17.00;0,39;;
17.6.2021 18.00;0,35;;
17.6.2021 19.00;0,43;;
17.6.2021 20.00;0,91;;
17.6.2021 21.00;0,62;;
17.6.2021 22.00;0,95;;
17.6.2021 23.00;3,62;;
18.6.2021 0.00;3,86;;
18.6.2021 1.00;2,29;;
18.6.2021 2.00;0,93;;
18.6.2021 3.00;0,6;;
18.6.2021 4.00;0,12;;
18.6.2021 5.00;0,12;;
18.6.2021 6.00;0,13;;
18.6.2021 7.00;0,36;;
18.6.2021 8.00;0,98;;
18.6.2021 9.00;1,5;;
18.6.2021 10.00;1,64;;
18.6.2021 11.00;0,63;;
18.6.2021 12.00;1,44;;
18.6.2021 13.00;0,69;;
18.6.2021 14.00;0,1;;
18.6.2021 15.00;0,12;;
18.6.2021 16.00;0,1;;
18.6.2021 17.00;0,11;;
18.6.2021 18.00;0,11;;
18.6.2021 19.00;0,11;;
18.6.2021 20.00;0,1;;
18.6.2021 21.00;0,09;;
18.6.2021 22.00;2,38;;
18.6.2021 23.00;3,21;;
19.6.2021 0.00;3,08;;
19.6.2021 1.00;0,11;;
19.6.2021 2.00;0,11;;
19.6.2021 3.00;0,09;;
19.6.2021 4.00;0,17;;
19.6.2021 5.00;0,18;;
19.6.2021 6.00;0,19;;
19.6.2021 7.00;0,17;;
19.6.2021 8.00;0,16;;
19.6.2021 9.00;0,15;;
19.6.2021 10.00;0,1;;
19.6.2021 11.00;0,1;;
19.6.2021 12.00;0,09;;
19.6.2021 13.00;0,11;;
19.6.2021 14.00;0,1;;
19.6.2021 15.00;0,1;;
19.6.2021 16.00;0,11;;
19.6.2021 17.00;0,09;;
19.6.2021 18.00;0,1;;
19.6.2021 19.00;0,1;;
19.6.2021 20.00;0,11;;
19.6.2021 21.00;0,12;;
19.6.2021 22.00;1,84;;
19.6.2021 23.00;0,41;;
20.6.2021 0.00;0,2;;
20.6.2021 1.00;0,2;;
20.6.2021 2.00;0,23;;
20.6.2021 3.00;0,34;;
20.6.2021 4.00;1,02;;
20.6.2021 5.00;0,25;;
20.6.2021 6.00;0,2;;
20.6.2021 7.00;0,17;;
20.6.2021 8.00;0,18;;
20.6.2021 9.00;0,18;;
20.6.2021 10.00;0,19;;
20.6.2021 11.00;0,15;;
20.6.2021 12.00;0,16;;
20.6.2021 13.00;0,18;;
20.6.2021 14.00;0,19;;
20.6.2021 15.00;0,7;;
20.6.2021 16.00;0,56;;
20.6.2021 17.00;0,19;;
20.6.2021 18.00;0,15;;
20.6.2021 19.00;0,17;;
20.6.2021 20.00;0,15;;
20.6.2021 21.00;0,19;;
20.6.2021 22.00;1,05;;
20.6.2021 23.00;1,27;;
21.6.2021 0.00;0,18;;
21.6.2021 1.00;0,25;;
21.6.2021 2.00;1,05;;
21.6.2021 3.00;0,47;;
21.6.2021 4.00;0,22;;
21.6.2021 5.00;0,27;;
21.6.2021 6.00;0,27;;
21.6.2021 7.00;0,22;;
21.6.2021 8.00;0,14;;
21.6.2021 9.00;0,12;;
21.6.2021 10.00;0,11;;
21.6.2021 11.00;0,65;;
21.6.2021 12.00;0,48;;
21.6.2021 13.00;0,1;;
21.6.2021 14.00;0,11;;
21.6.2021 15.00;0,1;;
21.6.2021 16.00;0,08;;
21.6.2021 17.00;0,11;;
21.6.2021 18.00;0,11;;
21.6.2021 19.00;0,1;;
21.6.2021 20.00;0,09;;
21.6.2021 21.00;0,09;;
21.6.2021 22.00;1,14;;
21.6.2021 23.00;1,12;;
22.6.2021 0.00;0,11;;
22.6.2021 1.00;0,11;;
22.6.2021 2.00;0,18;;
22.6.2021 3.00;0,2;;
22.6.2021 4.00;0,21;;
22.6.2021 5.00;0,22;;
22.6.2021 6.00;0,21;;
22.6.2021 7.00;0,18;;
22.6.2021 8.00;0,18;;
22.6.2021 9.00;0,18;;
22.6.2021 10.00;0,1;;
22.6.2021 11.00;0,1;;
22.6.2021 12.00;0,1;;
22.6.2021 13.00;0,1;;
22.6.2021 14.00;0,09;;
22.6.2021 15.00;0,1;;
22.6.2021 16.00;0,1;;
22.6.2021 17.00;0,1;;
22.6.2021 18.00;0,11;;
22.6.2021 19.00;0,09;;
22.6.2021 20.00;0,1;;
22.6.2021 21.00;0,1;;
22.6.2021 22.00;1,6;;
22.6.2021 23.00;1,01;;
23.6.2021 0.00;0,11;;
23.6.2021 1.00;0,16;;
23.6.2021 2.00;0,19;;
23.6.2021 3.00;0,2;;
23.6.2021 4.00;0,2;;
23.6.2021 5.00;1,02;;
23.6.2021 6.00;0,28;;
23.6.2021 7.00;0,18;;
23.6.2021 8.00;0,17;;
23.6.2021 9.00;0,18;;
23.6.2021 10.00;0,18;;
